小区,位置,户型,面积,朝向,装修,楼层,年份,台楼,其他
苹果园 ,龙华新区,1室1厅 , 41.46平米 , 南 , 其他 , 高楼层(共17层) , 2004年建 , 板楼,
潜龙鑫茂花园B区 ,民治,2室1厅 , 68.06平米 , 西北 , 其他 , 16层 , 2006年建 , 板塔结合,
深业泰然观澜玫瑰苑 ,观澜,2室1厅 , 72.88平米 , 东南 , 精装 , 低楼层(共31层) , 2016年建 , 板塔结合,
新阳丽舍 ,龙华中心,2室1厅 , 39.12平米 , 西 , 精装 , 高楼层(共7层) , 2004年建 , 板塔结合,
丹枫雅苑 ,龙华中心,1室1厅 , 48.71平米 , 东南 , 其他 , 中楼层(共18层) , 2008年建 , 板楼,
深业泰然观澜玫瑰苑 ,观澜,1室1厅 , 47.07平米 , 北 , 其他 , 高楼层(共31层) , 2016年建 , 板塔结合,
丹枫雅苑 ,龙华中心,2室1厅 , 48.1平米 , 南 , 精装 , 高楼层(共18层) , 2008年建 , 板楼,
苹果园 ,龙华新区,2室1厅 , 47.86平米 , 南 , 简装 , 中楼层(共17层) , 2004年建 , 板楼,
潜龙鑫茂花园C区 ,民治,1室0厅 , 26.68平米 , 南 , 精装 , 低楼层(共13层) , 2006年建 , 板楼,
潜龙鑫茂花园C区 ,民治,1室1厅 , 39.38平米 , 南 , 其他 , 低楼层(共13层) , 2006年建 , 板楼,
奥宸观壹城 ,观澜,2室1厅 , 69.77平米 , 南 , 精装 , 高楼层(共33层) , 2015年建 , 板塔结合,
潜龙曼海宁花园北区 ,上塘,1室1厅 , 47.81平米 , 东南 , 其他 , 高楼层(共28层) , 2013年建 , 塔楼,
青年城邦园 ,龙华中心,2室1厅 , 40.62平米 , 西南 , 其他 , 低楼层(共13层) , 2006年建 , 板楼,
书香门第上河坊 ,梅林关,1室1厅 , 38.44平米 , 东北 , 精装 , 22层 , 2009年建 , 塔楼,
招商观园 ,观澜,2室2厅 , 52.91平米 , 东南 , 精装 , 低楼层(共18层)  , 塔楼,,
绿景公馆1866南区 ,红山,4室2厅 , 130.05平米 , 南 北 , 精装 , 22层 , 2013年建 , 塔楼,
金地上塘道二期 ,红山,2室1厅 , 36.9平米 , 南 , 精装 , 中楼层(共31层) , 2011年建 , 塔楼,
碧水龙庭 ,民治,2室2厅 , 72.55平米 , 南 北 , 其他 , 高楼层(共18层) , 2008年建 , 塔楼,
新阳丽舍 ,龙华中心,1室1厅 , 42.7平米 , 南 , 简装 , 高楼层(共7层) , 2004年建 , 板塔结合,
潜龙鑫茂花园C区 ,民治,1室0厅 , 26.98平米 , 南 , 简装 , 低楼层(共13层) , 2006年建 , 板楼,
招商观园 ,观澜,3室2厅 , 83.24平米 , 东南 南 , 其他 , 下叠(共3层)  , 塔楼 , 叠拼别墅 ,
书香门第上河坊 ,梅林关,2室1厅 , 59.85平米 , 东南 , 精装 , 21层 , 2009年建 , 塔楼,
金地梅陇镇二期 ,龙华新区,2室1厅 , 74.12平米 , 南 , 简装 , 中楼层(共33层) , 2007年建 , 板塔结合,
馨园二期 ,民治,2室1厅 , 74.15平米 , 南 , 简装 , 高楼层(共6层) , 2002年建 , 板塔结合,
美佳华首誉 ,观澜,2室2厅 , 66.51平米 , 西南 , 精装 , 中楼层(共28层) , 2013年建 , 板塔结合,
潜龙曼海宁花园北区 ,上塘,1室0厅 , 30.22平米 , 西北 , 其他 , 中楼层(共28层) , 2013年建 , 塔楼,
潜龙曼海宁花园北区 ,上塘,1室0厅 , 33.98平米 , 西北 , 精装 , 中楼层(共28层) , 2013年建 , 塔楼,
华业玫瑰四季馨园二期 ,红山,2室2厅 , 49平米 , 东北 , 精装 , 中楼层(共32层) , 2017年建 , 塔楼,
潜龙花园 ,民治,2室2厅 , 79.13平米 , 南 , 其他 , 高楼层(共8层) , 2000年建 , 板楼,
丰泽湖山庄 ,梅林关,3室2厅 , 120.85平米 , 东南 , 精装 , 中楼层(共16层) , 2004年建 , 板楼,
银泉花园 ,龙华中心,2室1厅 , 73.53平米 , 南 , 精装 , 中楼层(共11层) , 2000年建 , 板塔结合,
中航天逸 ,红山,2室2厅 , 78.66平米 , 南 西 , 精装 , 高楼层(共36层) , 2013年建 , 板塔结合,
青年城邦园 ,龙华中心,1室1厅 , 27.55平米 , 西南 , 其他 , 中楼层(共13层) , 2006年建 , 板塔结合,
保利悦都 ,龙华中心,2室1厅 , 68.09平米 , 西南 , 精装 , 中楼层(共27层) , 2016年建 , 塔楼,
招商观园 ,观澜,1室1厅 , 53.24平米 , 东南 , 其他 , 中楼层(共18层) , 2012年建 , 塔楼,
汇龙苑 ,梅林关,2室2厅 , 71.04平米 , 南 , 其他 , 低楼层(共6层) , 2004年建 , 板楼,
世纪春城四期 ,民治,2室2厅 , 73.31平米 , 南 , 精装 , 26层 , 2008年建 , 塔楼,
潜龙鑫茂花园C区 ,民治,1室0厅 , 26.68平米 , 南 , 其他 , 高楼层(共13层) , 2006年建 , 板楼,
苹果园 ,龙华新区,1室0厅 , 31.69平米 , 北 , 精装 , 低楼层(共17层) , 2004年建 , 板楼,
潜龙鑫茂花园A区 ,民治,2室1厅 , 67.87平米 , 南 , 精装 , 17层 , 2006年建 , 板塔结合,
苹果园 ,龙华新区,1室0厅 , 27.2平米 , 南 , 其他 , 高楼层(共17层) , 2004年建 , 板楼,
潜龙鑫茂花园C区 ,民治,1室0厅 , 26.98平米 , 南 , 简装 , 低楼层(共13层) , 2006年建 , 板楼,
金地上塘道一期 ,红山,2室1厅 , 64.82平米 , 南 , 其他 , 高楼层(共24层) , 2010年建 , 板塔结合,
金地梅陇镇四期 ,民治,2室1厅 , 73.62平米 , 南 , 精装 , 高楼层(共25层) , 2009年建 , 板塔结合,
书香门第名苑 ,梅林关,2室2厅 , 65.82平米 , 东北 , 精装 , 8层 , 2004年建 , 塔楼,
星河丹堤 ,梅林关,2室1厅 , 88平米 , 南 , 简装 , 低楼层(共32层) , 2008年建 , 板塔结合,
潜龙曼海宁花园北区 ,上塘,1室1厅 , 47.35平米 , 南 , 其他 , 低楼层(共28层) , 2013年建 , 塔楼,
佳华领域广场 ,观澜,2室2厅 , 54.44平米 , 东南 , 其他 , 低楼层(共28层) , 2017年建 , 板塔结合,
滢水山庄 ,民治,2室1厅 , 73.16平米 , 南 , 精装 , 高楼层(共7层) , 1998年建 , 板塔结合,
潜龙鑫茂花园A区 ,民治,1室1厅 , 35.18平米 , 西北 , 精装 , 12层 , 2006年建 , 板塔结合,
馨园二期 ,民治,2室1厅 , 73.58平米 , 南 , 简装 , 中楼层(共11层) , 2003年建 , 板塔结合,
丰泽湖山庄 ,梅林关,2室1厅 , 80.24平米 , 东 西 , 其他 , 高楼层(共6层) , 2002年建 , 板楼,
阳光新境园 ,龙华新区,2室2厅 , 83.71平米 , 南 , 精装 , 中楼层(共33层) , 2007年建 , 板塔结合,
金地上塘道一期 ,红山,2室1厅 , 45.42平米 , 东北 , 精装 , 低楼层(共25层) , 2010年建 , 板塔结合,
奥宸观壹城 ,观澜,2室2厅 , 69.22平米 , 南 , 精装 , 中楼层(共33层) , 2015年建 , 板塔结合,
华业玫瑰四季馨园一期 ,红山,2室2厅 , 71.28平米 , 东南 , 简装 , 中楼层(共32层) , 2015年建 , 塔楼,
苹果园 ,龙华新区,1室1厅 , 41.48平米 , 南 , 简装 , 低楼层(共17层) , 2004年建 , 板楼,
莱蒙水榭春天三期 ,红山,2室2厅 , 66.87平米 , 东南 , 精装 , 低楼层(共33层) , 2011年建 , 板塔结合,
苹果园 ,龙华新区,1室1厅 , 41.25平米 , 北 , 精装 , 低楼层(共17层) , 2004年建 , 板楼,
锦绣江南四期 ,龙华新区,2室2厅 , 79.16平米 , 南 , 其他 , 低楼层(共18层) , 2006年建 , 塔楼,
潜龙花园 ,民治,2室1厅 , 83.24平米 , 南 , 精装 , 高楼层(共8层) , 1999年建 , 板楼,
金地上塘道一期 ,红山,2室1厅 , 45.42平米 , 东北 , 精装 , 低楼层(共25层) , 2010年建 , 板塔结合,
丰泽湖山庄 ,梅林关,2室1厅 , 80.24平米 , 东 西 , 其他 , 高楼层(共6层) , 2002年建 , 板楼,
华业玫瑰四季馨园一期 ,红山,2室2厅 , 71.28平米 , 东南 , 简装 , 中楼层(共32层) , 2015年建 , 塔楼,
阳光新境园 ,龙华新区,2室2厅 , 83.71平米 , 南 , 精装 , 中楼层(共33层) , 2007年建 , 板塔结合,
潜龙鑫茂花园A区 ,民治,1室1厅 , 35.18平米 , 西北 , 精装 , 12层 , 2006年建 , 板塔结合,
观澜湖赛维纳 ,观澜,1室1厅 , 63.87平米 , 北 , 其他 , 中楼层(共9层) , 2003年建 , 板楼,
苹果园 ,龙华新区,1室1厅 , 41.54平米 , 南 , 精装 , 高楼层(共16层) , 2004年建 , 板楼,
滢水山庄 ,民治,3室2厅 , 72.92平米 , 南 , 其他 , 高楼层(共8层) , 1999年建 , 板塔结合,
华业玫瑰四季馨园一期 ,红山,2室2厅 , 71.47平米 , 东南 , 精装 , 高楼层(共32层) , 2015年建 , 塔楼,
苹果园 ,龙华新区,1室0厅 , 32.3平米 , 北 , 精装 , 中楼层(共17层) , 2004年建 , 板楼,
金地上塘道一期 ,红山,2室2厅 , 65.11平米 , 南 , 简装 , 中楼层(共25层) , 2010年建 , 塔楼,
陶润懿峰 ,观澜,2室1厅 , 50.01平米 , 西 , 其他 , 低楼层(共32层) , 2016年建 , 板塔结合,
青年城邦园 ,龙华中心,1室0厅 , 27.55平米 , 东南 , 简装 , 中楼层(共13层) , 2006年建 , 板楼,
星河传奇二期 ,红山,1室1厅 , 51.03平米 , 西 , 精装 , 中楼层(共30层) , 2016年建 , 塔楼,
银泉花园 ,龙华中心,1室1厅 , 48.62平米 , 西南 , 简装 , 高楼层(共11层) , 2000年建 , 板塔结合,
特发和平里 ,上塘,3室1厅 , 84.58平米 , 西南 , 精装 , 31层 , 2014年建 , 塔楼,
华业玫瑰四季馨园二期 ,红山,1室1厅 , 44.79平米 , 东南 , 精装 , 中楼层(共32层) , 2017年建 , 塔楼,
潜龙曼海宁花园北区 ,上塘,1室0厅 , 30.46平米 , 东北 , 精装 , 高楼层(共28层) , 2013年建 , 塔楼,
书香门第上河坊 ,梅林关,2室1厅 , 56.22平米 , 西南 , 精装 , 22层 , 2009年建 , 塔楼,
龙悦居四期 ,梅林关,2室1厅 , 63.1平米 , 南 , 精装 , 中楼层(共35层) , 2011年建 , 板楼,
潜龙曼海宁花园北区 ,上塘,1室1厅 , 47.02平米 , 东南 , 精装 , 低楼层(共28层) , 2013年建 , 塔楼,
星河盛世花园 ,梅林关,2室1厅 , 61.39平米 , 东 东南 西北 , 精装 , 30层 , 2013年建 , 板塔结合,
华业玫瑰四季馨园二期 ,红山,1室1厅 , 44.68平米 , 东南 , 精装 , 中楼层(共32层) , 2017年建 , 塔楼,
潜龙鑫茂花园C区 ,民治,1室1厅 , 39.37平米 , 南 , 简装 , 低楼层(共13层) , 2006年建 , 板楼,
丰泽湖山庄 ,梅林关,2室2厅 , 75.58平米 , 东南 , 其他 , 中楼层(共6层) , 2003年建 , 板楼,
书香门第上河坊 ,梅林关,2室1厅 , 56.08平米 , 南 , 其他 , 22层 , 2009年建 , 塔楼,
潜龙鑫茂花园C区 ,民治,1室0厅 , 26.67平米 , 北 , 简装 , 低楼层(共13层) , 2006年建 , 板楼,
龙悦居四期 ,梅林关,2室1厅 , 62.78平米 , 东南 , 精装 , 中楼层(共35层)  , 板楼,,
碧水龙庭 ,民治,2室2厅 , 72.55平米 , 南 , 其他 , 中楼层(共18层) , 2008年建 , 塔楼,
丰润花园多层 ,龙华新区,2室1厅 , 72.9平米 , 东南 , 简装 , 中楼层(共8层) , 1994年建 , 板楼,
莱蒙水榭春天5期 ,红山,2室1厅 , 78.29平米 , 东 , 精装 , 28层 , 2012年建 , 板楼,
潜龙鑫茂花园C区 ,民治,1室0厅 , 26.67平米 , 北 , 简装 , 低楼层(共13层) , 2006年建 , 板楼,
龙悦居四期 ,梅林关,2室1厅 , 62.78平米 , 东南 , 精装 , 中楼层(共35层)  , 板楼,,
潜龙曼海宁花园南区 ,上塘,2室2厅 , 69.2平米 , 北 , 精装 , 高楼层(共28层) , 2011年建 , 塔楼,
潜龙曼海宁花园北区 ,上塘,2室1厅 , 70.18平米 , 北 南 , 精装 , 低楼层(共28层) , 2013年建 , 塔楼,
金地梅陇镇四期 ,民治,2室2厅 , 83.6平米 , 南 北 , 其他 , 高楼层(共25层) , 2009年建 , 板塔结合,
绿景香颂 ,龙华新区,2室2厅 , 55.7平米 , 南 , 精装 , 低楼层(共31层) , 2012年建 , 板塔结合,
日出印象一期 ,红山,2室1厅 , 75.66平米 , 北 , 精装 , 中楼层(共11层) , 2005年建 , 塔楼,
金地梅陇镇二期 ,龙华新区,2室2厅 , 76.8平米 , 南 , 其他 , 中楼层(共18层) , 2007年建 , 板塔结合,
潜龙鑫茂花园C区 ,民治,1室0厅 , 26.68平米 , 北 , 精装 , 中楼层(共13层) , 2006年建 , 板楼,
潜龙曼海宁花园南区 ,上塘,2室2厅 , 69.2平米 , 西北 , 精装 , 低楼层(共28层) , 2011年建 , 塔楼,
青年城邦园 ,龙华中心,1室1厅 , 42.55平米 , 南 北 , 其他 , 高楼层(共13层) , 2006年建 , 板楼,
特发和平里 ,上塘,2室2厅 , 84.58平米 , 东北 , 精装 , 31层 , 2014年建 , 塔楼,
华业玫瑰四季馨园二期 ,红山,2室2厅 , 73.74平米 , 东南 , 简装 , 低楼层(共28层) , 2017年建 , 塔楼,
丹枫雅苑 ,龙华中心,2室2厅 , 57.24平米 , 东南 , 其他 , 高楼层(共24层) , 2008年建 , 板塔结合,
潜龙曼海宁花园南区 ,上塘,2室1厅 , 67.42平米 , 东南 , 精装 , 高楼层(共28层) , 2011年建 , 塔楼,
招商澜园 ,观澜,1室1厅 , 65.94平米 , 南 北 , 精装 , 高楼层(共17层) , 2010年建 , 板塔结合,
青年城邦园 ,龙华中心,1室1厅 , 40.62平米 , 南 , 精装 , 中楼层(共13层) , 2006年建 , 板楼,
观澜湖赛维纳 ,观澜,1室1厅 , 62.33平米 , 东南 , 精装 , 中楼层(共9层) , 2003年建 , 板楼,
潜龙鑫茂花园A区 ,民治,2室1厅 , 64.03平米 , 南 , 其他 , 6层 , 2006年建 , 板塔结合,
观澜湖赛维纳 ,观澜,1室1厅 , 64.68平米 , 南 , 精装 , 低楼层(共9层) , 2003年建 , 板楼,
碧水龙庭 ,民治,2室2厅 , 72.83平米 , 南 , 精装 , 低楼层(共18层) , 2008年建 , 塔楼,
潜龙鑫茂花园B区 ,民治,1室1厅 , 35.14平米 , 南 , 简装 , 13层 , 2006年建 , 板塔结合,
皓月花园 ,民治,2室1厅 , 75.97平米 , 西北 , 其他 , 中楼层(共7层) , 2005年建 , 板塔结合,
青年城邦园 ,龙华中心,1室1厅 , 40.62平米 , 西南 , 精装 , 高楼层(共13层) , 2006年建 , 板楼,
佳华领域广场 ,观澜,2室1厅 , 35.34平米 , 南 , 其他 , 中楼层(共24层) , 2019年建 , 板塔结合,
福景花园 ,龙华中心,2室1厅 , 70.65平米 , 南 , 精装 , 高楼层(共7层) , 1993年建 , 板塔结合,
世纪春城一期 ,民治,3室2厅 , 115.16平米 , 南 北 , 简装 , 高楼层(共9层) , 2004年建 , 板塔结合,
苹果园 ,龙华新区,2室1厅 , 54.94平米 , 南 , 精装 , 中楼层(共17层) , 2004年建 , 板楼,
绿景公馆1866南区 ,红山,3室2厅 , 87.37平米 , 北 , 精装 , 22层 , 2013年建 , 塔楼,
金地上塘道一期 ,红山,2室1厅 , 64.98平米 , 东南 , 精装 , 中楼层(共24层) , 2010年建 , 板塔结合,
苹果园 ,龙华新区,1室0厅 , 26.35平米 , 南 , 简装 , 低楼层(共17层) , 2004年建 , 板楼,
新华城 ,龙华新区,2室2厅 , 70.83平米 , 北 , 精装 , 中楼层(共30层) , 2010年建 , 塔楼,
书香门第名苑 ,梅林关,2室1厅 , 65.96平米 , 东南 , 简装 , 23层 , 2005年建 , 塔楼,
莱蒙水榭春天一期 ,红山,2室2厅 , 69.98平米 , 南 , 精装 , 中楼层(共18层) , 2010年建 , 板塔结合,
丹枫雅苑 ,龙华中心,1室1厅 , 49.82平米 , 东南 , 精装 , 高楼层(共18层) , 2008年建 , 板楼,
新阳丽舍 ,龙华中心,1室1厅 , 42.39平米 , 东南 , 其他 , 高楼层(共7层) , 2004年建 , 板塔结合,
华盛峰荟名庭 ,观澜,1室0厅 , 33.69平米 , 北 东北 , 其他 , 高楼层(共36层) , 2016年建 , 板塔结合,
招商观园 ,观澜,3室2厅 , 87.26平米 , 东南 南 , 其他 , 下叠(共3层)  , 塔楼 , 叠拼别墅 ,
锦绣江南一期 ,龙华新区,2室2厅 , 69.08平米 , 东 , 其他 , 高楼层(共6层) , 2003年建 , 板楼,
世纪春城八号公寓 ,民治,1室1厅 , 44.53平米 , 北 , 简装 , 中楼层(共11层) , 2005年建 , 板楼,
华业玫瑰四季馨园二期 ,红山,2室2厅 , 73.07平米 , 西南 , 精装 , 中楼层(共28层) , 2017年建 , 塔楼,
新阳丽舍 ,龙华中心,2室1厅 , 38.72平米 , 南 , 精装 , 高楼层(共7层) , 2004年建 , 板塔结合,
苹果园 ,龙华新区,1室1厅 , 43平米 , 南 , 其他 , 中楼层(共17层) , 2004年建 , 板楼,
可乐园 ,龙华中心,2室1厅 , 40.18平米 , 东南 , 简装 , 中楼层(共6层) , 2008年建 , 板楼,
合能城市阳光花园 ,龙华中心,2室2厅 , 68.52平米 , 南 , 简装 , 中楼层(共22层) , 2011年建 , 塔楼,
金地上塘道一期 ,红山,1室1厅 , 44.04平米 , 北 , 其他 , 低楼层(共24层) , 2010年建 , 板塔结合,
金地梅陇镇三期 ,龙华新区,2室2厅 , 80.12平米 , 东 北 , 精装 , 中楼层(共33层) , 2008年建 , 板塔结合,
阳光新境园 ,龙华新区,2室2厅 , 83.71平米 , 东南 , 精装 , 高楼层(共33层) , 2007年建 , 板塔结合,
苹果园 ,龙华新区,2室2厅 , 59.93平米 , 北 , 精装 , 低楼层(共17层) , 2004年建 , 板楼,
金地上塘道二期 ,红山,2室2厅 , 53.62平米 , 东南 , 精装 , 中楼层(共31层) , 2011年建 , 塔楼,
华业玫瑰四季馨园一期 ,红山,1室1厅 , 45.63平米 , 东南 , 精装 , 高楼层(共32层) , 2015年建 , 塔楼,
香缇雅苑 ,龙华中心,1室1厅 , 43.58平米 , 东北 , 其他 , 中楼层(共18层) , 2007年建 , 塔楼,
潜龙曼海宁花园北区 ,上塘,2室2厅 , 70.25平米 , 东南 , 精装 , 中楼层(共28层) , 2013年建 , 塔楼,
潜龙花园 ,民治,2室2厅 , 83.1平米 , 东 , 简装 , 中楼层(共8层) , 1999年建 , 板楼,
青年城邦园 ,龙华中心,1室1厅 , 41.8平米 , 东南 , 精装 , 高楼层(共13层) , 2006年建 , 板楼,
青年城邦园 ,龙华中心,1室1厅 , 40.62平米 , 东南 , 精装 , 低楼层(共13层) , 2006年建 , 板楼,
华业玫瑰四季馨园二期 ,红山,1室1厅 , 44.68平米 , 西南 , 其他 , 低楼层(共32层) , 2017年建 , 塔楼,
皓月花园 ,民治,2室2厅 , 65.8平米 , 北 , 其他 , 低楼层(共7层) , 2005年建 , 板塔结合,
苹果园 ,龙华新区,1室1厅 , 43平米 , 南 , 其他 , 中楼层(共17层) , 2004年建 , 板楼,
香缇雅苑 ,龙华中心,1室1厅 , 43.58平米 , 南 , 其他 , 中楼层(共18层) , 2007年建 , 塔楼,
苹果园 ,龙华新区,2室1厅 , 77.85平米 , 东南 , 精装 , 低楼层(共17层) , 2004年建 , 板楼,
苹果园 ,龙华新区,2室2厅 , 59.93平米 , 北 , 精装 , 低楼层(共17层) , 2004年建 , 板楼,
金地上塘道二期 ,红山,2室2厅 , 53.62平米 , 东南 , 精装 , 中楼层(共31层) , 2011年建 , 塔楼,
合能城市阳光花园 ,龙华中心,2室2厅 , 68.52平米 , 南 , 简装 , 中楼层(共22层) , 2011年建 , 塔楼,
金地上塘道一期 ,红山,1室1厅 , 44.04平米 , 北 , 其他 , 低楼层(共24层) , 2010年建 , 板塔结合,
阳光新境园 ,龙华新区,2室2厅 , 83.71平米 , 东南 , 精装 , 高楼层(共33层) , 2007年建 , 板塔结合,
香缇雅苑 ,龙华中心,1室1厅 , 43.58平米 , 东北 , 其他 , 中楼层(共18层) , 2007年建 , 塔楼,
金地梅陇镇三期 ,龙华新区,2室2厅 , 80.12平米 , 东 北 , 精装 , 中楼层(共33层) , 2008年建 , 板塔结合,
馨园一期 ,民治,3室2厅 , 85.83平米 , 南 , 精装 , 低楼层(共7层) , 1999年建 , 板塔结合,
潜龙曼海宁花园北区 ,上塘,2室2厅 , 70.25平米 , 东南 , 精装 , 中楼层(共28层) , 2013年建 , 塔楼,
可乐园 ,龙华中心,2室1厅 , 40.18平米 , 东南 , 简装 , 中楼层(共6层) , 2008年建 , 板楼,
华业玫瑰四季馨园一期 ,红山,1室1厅 , 45.63平米 , 东南 , 精装 , 高楼层(共32层) , 2015年建 , 塔楼,
书香门第名苑 ,梅林关,1室1厅 , 40.56平米 , 西北 , 精装 , 23层 , 2005年建 , 塔楼,
合能城市阳光花园 ,龙华中心,2室2厅 , 69.43平米 , 南 , 精装 , 高楼层(共22层) , 2011年建 , 板塔结合,
风和日丽花园一期 ,龙华新区,2室2厅 , 70.43平米 , 南 , 其他 , 中楼层(共8层) , 2000年建 , 板楼,
莱蒙水榭春天5期 ,红山,2室1厅 , 75.53平米 , 东 , 精装 , 28层 , 2012年建 , 板楼,
风和日丽花园三期​ ,龙华新区,2室1厅 , 78平米 , 南 , 精装 , 高楼层(共8层) , 2002年建 , 板楼,
万科金域华府 ,梅林关,2室1厅 , 85.12平米 , 西南 , 精装 , 高楼层(共32层) , 2010年建 , 塔楼,
骏景华庭 ,民治,2室2厅 , 75.4平米 , 东南 , 简装 , 中楼层(共11层) , 2007年建 , 板塔结合,
华业玫瑰四季馨园二期 ,红山,2室1厅 , 49.63平米 , 西南 , 其他 , 中楼层(共32层) , 2017年建 , 塔楼,
新阳丽舍 ,龙华中心,1室1厅 , 31.08平米 , 南 , 精装 , 中楼层(共7层) , 2004年建 , 板塔结合,
新华城 ,龙华新区,2室1厅 , 80.81平米 , 西南 东北 , 精装 , 中楼层(共31层) , 2010年建 , 塔楼,
潜龙鑫茂花园B区 ,民治,2室2厅 , 69.17平米 , 南 , 其他 , 13层 , 2006年建 , 板塔结合,
莱蒙水榭春天一期 ,红山,2室1厅 , 70平米 , 南 , 其他 , 低楼层(共19层) , 2010年建 , 板塔结合,
莱蒙水榭春天5期 ,红山,2室2厅 , 74.66平米 , 东南 , 精装 , 28层 , 2012年建 , 板楼,
华业玫瑰四季馨园一期 ,红山,2室1厅 , 71.28平米 , 南 , 精装 , 高楼层(共32层) , 2015年建 , 塔楼,
星河盛世花园 ,梅林关,2室2厅 , 76.11平米 , 南 , 其他 , 30层 , 2013年建 , 板塔结合,
金侨花园 ,龙华中心,2室1厅 , 49平米 , 东南 , 精装 , 高楼层(共7层) , 1993年建 , 板楼,
观澜湖赛维纳 ,观澜,1室1厅 , 65.82平米 , 北 , 精装 , 中楼层(共9层) , 2002年建 , 板楼,
绿景公馆1866南区 ,红山,2室2厅 , 62.04平米 , 西南 , 精装 , 29层 , 2013年建 , 塔楼,
大信花园 ,龙华中心,2室1厅 , 74.48平米 , 南 , 其他 , 中楼层(共8层) , 2002年建 , 板楼,
滢水山庄 ,民治,2室2厅 , 73.16平米 , 南 , 精装 , 高楼层(共7层) , 1998年建 , 板塔结合,
香缇雅苑 ,龙华中心,1室0厅 , 29.62平米 , 东北 , 其他 , 中楼层(共18层) , 2007年建 , 塔楼,
金地梅陇镇三期 ,龙华新区,2室2厅 , 70.79平米 , 南 , 精装 , 中楼层(共17层) , 2008年建 , 板楼,
潜龙鑫茂花园A区 ,民治,1室1厅 , 36.54平米 , 北 , 精装 , 12层 , 2006年建 , 板塔结合,
碧水龙庭 ,民治,2室2厅 , 72.83平米 , 南 , 精装 , 中楼层(共18层) , 2008年建 , 塔楼,
碧水龙庭 ,民治,2室2厅 , 73.58平米 , 东南 , 精装 , 中楼层(共18层) , 2007年建 , 塔楼,
合能城市阳光花园 ,龙华中心,2室1厅 , 65.21平米 , 东南 , 精装 , 高楼层(共22层) , 2011年建 , 板塔结合,
金地梅陇镇四期 ,民治,2室1厅 , 80.9平米 , 南 , 精装 , 低楼层(共25层) , 2009年建 , 板塔结合,
潜龙曼海宁花园南区 ,上塘,2室2厅 , 70.81平米 , 南 , 简装 , 中楼层(共28层) , 2011年建 , 塔楼,
皓月花园 ,民治,2室2厅 , 74.66平米 , 西北 , 精装 , 低楼层(共7层) , 2005年建 , 板塔结合,
潜龙花园 ,民治,1室1厅 , 41.77平米 , 东 , 简装 , 中楼层(共8层) , 2001年建 , 板楼,
世纪春城四期 ,民治,2室1厅 , 73.88平米 , 南 , 精装 , 26层 , 2008年建 , 塔楼,
世纪春城二期 ,民治,2室2厅 , 76.78平米 , 北 , 其他 , 低楼层(共11层) , 2005年建 , 塔楼,
潜龙曼海宁花园南区 ,上塘,2室1厅 , 67.42平米 , 东南 , 其他 , 中楼层(共28层) , 2011年建 , 塔楼,
鸿荣源·尚峻 ,上塘,1室2厅 , 81.45平米 , 东南 , 精装 , 高楼层(共37层) , 2017年建 , 板塔结合,
观澜湖赛维纳 ,观澜,2室2厅 , 62.33平米 , 北 , 简装 , 中楼层(共9层) , 2003年建 , 板楼,
金地上塘道二期 ,红山,2室2厅 , 51.33平米 , 南 , 精装 , 中楼层(共31层) , 2011年建 , 塔楼,
皓月花园 ,民治,2室2厅 , 73.32平米 , 东南 , 简装 , 低楼层(共7层) , 2004年建 , 板塔结合,
潜龙花园 ,民治,2室1厅 , 50.44平米 , 北 东北 , 精装 , 低楼层(共8层) , 2001年建 , 板楼,
丰润花园多层 ,龙华新区,3室1厅 , 72.9平米 , 南 , 简装 , 低楼层(共8层) , 1996年建 , 板楼,
金地梅陇镇二期 ,龙华新区,2室2厅 , 76.79平米 , 南 , 精装 , 低楼层(共18层) , 2007年建 , 板塔结合,
金地上塘道一期 ,红山,2室1厅 , 64.86平米 , 东南 , 精装 , 中楼层(共24层) , 2010年建 , 板塔结合,
大信花园 ,龙华中心,2室2厅 , 71.64平米 , 东南 , 其他 , 高楼层(共8层) , 2005年建 , 板楼,
合能城市阳光花园 ,龙华中心,2室1厅 , 66.58平米 , 南 北 , 精装 , 高楼层(共22层) , 2011年建 , 板塔结合,
潜龙曼海宁花园南区 ,上塘,2室2厅 , 70.93平米 , 南 北 , 精装 , 高楼层(共28层) , 2011年建 , 塔楼,
馨园二期 ,民治,2室1厅 , 75.03平米 , 南 , 精装 , 高楼层(共11层) , 2003年建 , 板塔结合,
世纪春城三期6号地 ,民治,2室1厅 , 64.2平米 , 西南 , 其他 , 中楼层(共11层) , 2006年建 , 板塔结合,
港铁天颂 ,上塘,5室2厅 , 187.44平米 , 南 , 精装 , 低楼层(共15层) , 2016年建 , 板楼,
金地梅陇镇二期 ,龙华新区,2室2厅 , 76.79平米 , 南 , 精装 , 低楼层(共18层) , 2007年建 , 板塔结合,
世纪春城八号公寓 ,民治,1室1厅 , 43.07平米 , 南 , 精装 , 高楼层(共11层) , 2005年建 , 板楼,
梅花新园 ,民治,2室2厅 , 65.99平米 , 北 , 精装 , 中楼层(共11层) , 2003年建 , 板塔结合,
观澜湖赛维纳 ,观澜,2室2厅 , 62.33平米 , 北 , 简装 , 中楼层(共9层) , 2003年建 , 板楼,
丰润花园多层 ,龙华新区,3室1厅 , 72.9平米 , 南 , 简装 , 低楼层(共8层) , 1996年建 , 板楼,
